date,comments
2013-07-15,221
2013-07-16,392
2013-07-17,790
2013-07-18,1300
2013-07-19,686
2013-07-20,340
2013-07-21,428
2013-07-22,601
2013-07-23,1759
2013-07-24,1811
2013-07-25,3701
2013-07-26,8854
2013-07-27,4419
2013-07-28,1228
2013-07-29,3588
2013-07-30,27839
2013-07-31,25114
2013-08-01,18254
2013-08-02,26765
2013-08-03,4353
2013-08-04,18547
2013-08-05,33877
2013-08-06,35285
2013-08-07,33996
2013-08-08,38524
2013-08-09,28718
2013-08-10,29130
2013-08-11,30667
2013-08-12,28956
2013-08-13,69614
2013-08-14,32495
2013-08-15,10944
2013-08-16,23316
2013-08-17,13794
2013-08-18,11836
2013-08-19,13666
2013-08-20,21163
2013-08-21,11043
2013-08-22,13110
2013-08-23,15036
2013-08-24,8671
2013-08-25,12150
2013-08-26,4335
2013-08-27,12988
2013-08-28,4971
2013-08-29,4242
2013-08-30,6385
2013-08-31,6122
